,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_packets,bidirectional_bytes,application_name
0,97.89.91.159,50611,43.233.255.83,80,6,5,802,HTTP
1,132.77.120.147,2642,97.89.212.60,25,6,1,64,SMTP
2,62.14.237.70,22,97.89.198.74,39119,6,2,668,SSH
3,131.210.54.8,80,97.89.91.159,50294,6,2,140,HTTP
4,228.121.114.48,2928,97.89.128.237,1855,6,1,544,Unknown
5,42.39.64.116,80,97.89.91.159,50607,6,1,195,Unknown
6,51.120.21.42,1760,97.89.82.86,25,6,2,891,SMTP
7,132.92.129.247,2582,97.89.212.60,25,6,3,200,SMTP
8,44.185.198.92,53,97.89.80.51,53,17,1,91,Unknown
9,62.142.121.226,2650,97.89.91.150,443,6,4,1846,TLS
10,53.237.254.131,2009,97.89.82.86,25,6,1,64,SMTP
11,51.1.160.192,3017,97.89.225.174,2745,6,1,66,Unknown
12,97.89.91.150,443,42.70.121.212,3043,6,2,353,TLS
13,97.89.82.86,25,41.78.243.77,4134,6,1,112,Unknown
14,51.167.246.203,63018,97.89.91.150,443,6,1,64,TLS
15,97.89.91.159,50543,128.209.181.205,80,6,1,513,Unknown
16,251.219.237.118,2285,97.89.212.60,25,6,1,64,SMTP
17,49.165.179.203,2559,97.89.82.86,25,6,1,64,SMTP
18,127.138.156.188,32802,97.89.80.51,53,17,3,267,Unknown
19,43.105.125.131,60882,97.89.169.77,80,6,2,1521,Unknown
20,144.118.166.9,113,97.89.82.86,59690,6,1,70,Unknown
21,48.180.74.132,63295,35.149.162.105,445,6,1,66,SMBv23
22,97.89.82.86,25,51.113.221.104,2058,6,1,64,SMTP
23,97.89.91.159,50609,47.164.167.235,80,6,1,78,HTTP
24,145.215.249.17,4772,97.89.82.86,25,6,3,1600,SMTP
25,144.233.26.61,1232,97.89.82.86,25,6,2,209,Unknown
26,130.203.237.197,80,97.89.91.159,50590,6,8,6032,HTTP
27,97.89.18.118,0,42.39.245.251,0,50,1,202,Unknown
28,251.195.155.180,1727,97.89.204.109,445,6,1,66,SMBv23
29,35.149.167.125,15282,35.218.228.241,53,17,2,191,Unknown
30,32.116.245.197,80,97.89.91.159,50437,6,6,3927,HTTP
31,42.39.64.116,80,97.89.91.159,50604,6,7,1263,HTTP
32,129.81.161.36,2805,97.89.82.86,25,6,1,95,Unknown
33,42.77.244.86,80,97.89.169.67,17113,6,1,1438,Unknown
34,42.78.192.233,1292,97.89.82.86,25,6,1,64,SMTP
35,51.166.171.186,11852,97.89.91.159,123,17,1,94,Unknown
36,42.39.64.116,80,97.89.91.159,50605,6,4,815,HTTP
37,133.76.90.220,4960,97.89.168.148,3127,6,1,66,Unknown
38,97.89.91.159,50610,43.105.117.107,80,6,4,821,HTTP
39,97.89.91.159,50612,62.9.192.229,80,6,1,78,HTTP
40,42.39.191.253,80,97.89.91.159,50462,6,11,4815,HTTP
41,43.95.2.115,4443,97.89.82.86,25,6,1,64,SMTP
42,47.82.227.34,4070,97.89.212.60,25,6,3,237,SMTP
43,97.89.212.60,25,51.112.113.103,2656,6,1,76,Unknown
