,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_packets,bidirectional_bytes,application_name
0,10.215.173.1,30093,10.215.173.2,53,17,2,194,DNS.Discord
1,10.215.173.1,49371,188.122.65.138,50006,17,2,204,STUN
2,10.215.173.1,38402,162.159.128.233,443,6,26,5437,TLS.Discord
3,10.215.173.1,38394,162.159.128.233,443,6,41,11131,TLS.Discord
4,10.215.173.1,49670,162.159.137.234,443,6,266,24634,TLS.Discord
5,10.215.173.1,6548,10.215.173.2,53,17,2,190,DNS
6,10.215.173.1,4798,10.215.173.2,53,17,2,194,DNS.Discord
7,10.215.173.1,55777,10.215.173.2,53,17,2,220,DNS.Discord
8,10.215.173.1,41112,10.215.173.2,53,17,2,190,DNS
9,10.215.173.1,37752,198.251.86.68,123,17,2,152,NTP
10,10.215.173.1,39850,162.159.136.234,443,6,28,4251,TLS.Discord
11,10.215.173.1,39531,188.122.65.138,50006,17,17871,13539174,STUN
12,10.215.173.1,42200,162.159.138.232,443,6,14,1523,TLS.Discord
13,10.215.173.1,43132,188.122.65.138,50006,17,498,481713,Unknown
14,10.215.173.1,39688,188.122.65.138,50006,17,19293,15768516,STUN
15,10.215.173.1,58112,10.215.173.2,53,17,2,208,DNS.Discord
16,10.215.173.1,40566,204.11.201.12,123,17,2,152,NTP
17,10.215.173.1,38995,10.215.173.2,53,17,2,194,DNS.Discord
