,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_packets,bidirectional_bytes,application_name
0,48.180.74.132,63295,35.149.162.105,445,6,1,66,SMBv23
1,97.89.82.86,25,51.113.221.104,2058,6,1,64,SMTP
2,97.89.91.159,50609,47.164.167.235,80,6,1,78,HTTP
3,97.89.91.159,50611,43.233.255.83,80,6,5,802,HTTP
4,145.215.249.17,4772,97.89.82.86,25,6,3,1600,SMTP
5,144.233.26.61,1232,97.89.82.86,25,6,2,209,Unknown
6,130.203.237.197,80,97.89.91.159,50590,6,8,6032,HTTP
7,132.77.120.147,2642,97.89.212.60,25,6,1,64,SMTP
8,62.14.237.70,22,97.89.198.74,39119,6,2,668,SSH
9,131.210.54.8,80,97.89.91.159,50294,6,2,140,HTTP
10,228.121.114.48,2928,97.89.128.237,1855,6,1,544,Unknown
11,42.39.64.116,80,97.89.91.159,50607,6,1,195,Unknown
12,97.89.18.118,0,42.39.245.251,0,50,1,202,Unknown
13,251.195.155.180,1727,97.89.204.109,445,6,1,66,SMBv23
14,35.149.167.125,15282,35.218.228.241,53,17,2,191,Unknown
15,32.116.245.197,80,97.89.91.159,50437,6,6,3927,HTTP
16,51.120.21.42,1760,97.89.82.86,25,6,2,891,SMTP
17,42.39.64.116,80,97.89.91.159,50604,6,7,1263,HTTP
18,132.92.129.247,2582,97.89.212.60,25,6,3,200,SMTP
19,44.185.198.92,53,97.89.80.51,53,17,1,91,Unknown
20,129.81.161.36,2805,97.89.82.86,25,6,1,95,Unknown
21,62.142.121.226,2650,97.89.91.150,443,6,4,1846,TLS
22,53.237.254.131,2009,97.89.82.86,25,6,1,64,SMTP
23,51.1.160.192,3017,97.89.225.174,2745,6,1,66,Unknown
24,97.89.91.150,443,42.70.121.212,3043,6,2,353,TLS
25,97.89.82.86,25,41.78.243.77,4134,6,1,112,Unknown
26,51.167.246.203,63018,97.89.91.150,443,6,1,64,TLS
27,97.89.91.159,50543,128.209.181.205,80,6,1,513,Unknown
28,251.219.237.118,2285,97.89.212.60,25,6,1,64,SMTP
29,49.165.179.203,2559,97.89.82.86,25,6,1,64,SMTP
30,127.138.156.188,32802,97.89.80.51,53,17,3,267,Unknown
31,43.105.125.131,60882,97.89.169.77,80,6,2,1521,Unknown
32,144.118.166.9,113,97.89.82.86,59690,6,1,70,Unknown
33,133.76.90.220,4960,97.89.168.148,3127,6,1,66,Unknown
34,97.89.91.159,50610,43.105.117.107,80,6,4,821,HTTP
35,97.89.91.159,50612,62.9.192.229,80,6,1,78,HTTP
36,42.39.191.253,80,97.89.91.159,50462,6,11,4815,HTTP
37,43.95.2.115,4443,97.89.82.86,25,6,1,64,SMTP
38,47.82.227.34,4070,97.89.212.60,25,6,3,237,SMTP
39,97.89.212.60,25,51.112.113.103,2656,6,1,76,Unknown
40,42.77.244.86,80,97.89.169.67,17113,6,1,1438,Unknown
41,42.78.192.233,1292,97.89.82.86,25,6,1,64,SMTP
42,51.166.171.186,11852,97.89.91.159,123,17,1,94,Unknown
43,42.39.64.116,80,97.89.91.159,50605,6,4,815,HTTP
44,0.0.144.101,0,49.7.231.123,0,124,1,1196,Unknown
45,0.0.144.101,0,49.14.231.123,0,124,1,1196,Unknown
46,0.0.144.101,0,49.21.231.123,0,124,1,1237,Unknown
47,0.0.144.101,0,49.28.231.123,0,124,1,1237,Unknown
48,0.0.144.120,0,141.2.83.192,0,124,1,114,Unknown
49,0.0.144.101,0,49.35.231.123,0,124,1,1237,Unknown
50,0.0.144.229,0,49.39.231.123,0,124,1,1237,Unknown
51,0.0.144.101,0,49.42.231.123,0,124,1,1225,Unknown
52,0.0.144.101,0,49.49.231.123,0,124,1,1225,Unknown
53,0.0.144.101,0,49.56.231.123,0,124,1,1225,Unknown
54,0.0.144.120,0,141.9.83.192,0,124,1,124,Unknown
55,0.0.144.101,0,49.68.231.124,0,124,1,1196,Unknown
56,0.0.144.101,0,49.75.231.124,0,124,1,1196,Unknown
57,0.0.144.101,0,49.82.231.124,0,124,1,1197,Unknown
58,0.0.144.101,0,49.89.231.124,0,124,1,1199,Unknown
59,0.0.144.120,0,141.16.83.192,0,124,1,114,Unknown
60,0.0.144.101,0,49.96.231.124,0,124,1,1199,Unknown
61,0.0.144.101,0,49.103.231.124,0,124,1,1199,Unknown
62,0.0.144.101,0,49.110.231.124,0,124,1,1200,Unknown
63,0.0.144.101,0,49.117.231.124,0,124,1,1207,Unknown
64,0.0.144.101,0,49.124.231.124,0,124,1,1207,Unknown
65,0.0.144.120,0,141.23.83.192,0,124,1,109,Unknown
66,0.0.144.101,0,49.131.231.124,0,124,1,1207,Unknown
67,0.0.144.101,0,49.138.231.124,0,124,1,76,Unknown
68,0.0.144.101,0,49.145.231.124,0,124,1,1216,Unknown
69,0.0.144.101,0,49.152.231.124,0,124,1,1216,Unknown
70,0.0.144.101,0,49.159.231.124,0,124,1,1217,Unknown
71,0.0.144.120,0,141.30.83.192,0,124,1,109,Unknown
72,0.0.144.101,0,49.166.231.124,0,124,1,1196,Unknown
73,0.0.144.101,0,49.173.231.124,0,124,1,1197,Unknown
74,0.0.144.101,0,49.180.231.124,0,124,1,1197,Unknown
75,0.0.144.101,0,49.194.231.124,0,124,1,1233,Unknown
76,0.0.144.120,0,141.37.83.192,0,124,1,109,Unknown
77,0.0.144.101,0,49.201.231.124,0,124,1,1234,Unknown
78,0.0.144.101,0,49.208.231.124,0,124,1,1234,Unknown
79,0.0.144.101,0,49.213.231.125,0,124,1,1226,Unknown
80,0.0.144.101,0,49.220.231.125,0,124,1,1227,Unknown
81,0.0.144.101,0,49.227.231.125,0,124,1,1227,Unknown
82,0.0.144.120,0,141.44.83.192,0,124,1,109,Unknown
83,0.0.144.101,0,49.234.231.125,0,124,1,1227,Unknown
84,0.0.144.101,0,49.241.231.125,0,124,1,1227,Unknown
85,0.0.144.101,0,49.248.231.125,0,124,1,1227,Unknown
86,0.0.144.101,0,49.8.231.123,0,124,1,1196,Unknown
87,0.0.144.101,0,49.15.231.123,0,124,1,1196,Unknown
88,0.0.144.101,0,49.255.231.125,0,124,1,1227,Unknown
89,0.0.144.101,0,50.1.231.125,0,124,1,1227,Unknown
90,0.0.144.101,0,49.6.231.123,0,124,1,1196,Unknown
91,0.0.144.120,0,141.51.83.192,0,124,1,109,Unknown
92,0.0.144.101,0,49.13.231.123,0,124,1,1196,Unknown
93,0.0.144.101,0,50.8.231.125,0,124,1,1219,Unknown
94,0.0.144.101,0,49.20.231.123,0,124,1,1237,Unknown
95,0.0.144.101,0,50.15.231.125,0,124,1,1219,Unknown
96,0.0.144.120,0,140.255.83.192,0,124,1,134,Unknown
97,0.0.144.101,0,50.22.231.125,0,124,1,1219,Unknown
98,0.0.144.101,0,50.36.231.125,0,124,1,1203,Unknown
99,0.0.144.120,0,141.58.83.192,0,124,1,109,Unknown
100,0.0.144.101,0,50.43.231.125,0,124,1,1203,Unknown
101,0.0.144.101,0,50.50.231.125,0,124,1,1203,Unknown
102,0.0.144.229,0,50.54.231.125,0,124,1,1203,Unknown
103,0.0.144.101,0,50.57.231.125,0,124,1,1223,Unknown
104,0.0.144.120,0,141.63.83.193,0,124,1,109,Unknown
105,0.0.144.101,0,50.64.231.125,0,124,1,1223,Unknown
106,0.0.144.101,0,50.71.231.125,0,124,1,1223,Unknown
107,0.0.144.101,0,50.85.231.125,0,124,1,1220,Unknown
108,0.0.144.120,0,141.70.83.193,0,124,1,109,Unknown
109,0.0.144.101,0,50.92.231.125,0,124,1,1220,Unknown
110,0.0.144.101,0,50.99.231.125,0,124,1,1220,Unknown
111,0.0.144.101,0,50.106.231.125,0,124,1,1222,Unknown
112,0.0.144.101,0,50.113.231.125,0,124,1,1222,Unknown
113,0.0.144.101,0,50.120.231.125,0,124,1,1223,Unknown
114,0.0.144.120,0,141.77.83.193,0,124,1,109,Unknown
115,0.0.144.101,0,50.132.231.126,0,124,1,1197,Unknown
116,0.0.144.101,0,50.139.231.126,0,124,1,1197,Unknown
